lat,lon,eventNum,run,priority,theta
-80.0067,178.505,3378842,50,4,-0.112492
-80.2335,169.382,3378845,50,4,-0.122718
-80.0705,176.685,3378878,50,3,-0.102265
-80.0837,169.424,3378883,50,2,-0.122718
-80.2342,169.381,3378888,50,3,-0.122718
-80.2091,169.391,3378891,50,3,-0.122718
-80.0335,169.431,3378911,50,4,-0.122718
-80.0837,169.424,3378919,50,3,-0.122718
-80.0087,178.506,3378923,50,2,-0.112492
-80.0087,178.506,3378931,50,3,-0.112492
-80.0248,160.101,3378939,50,4,-0.163625
-80.2099,169.39,3378943,50,2,-0.122718
-80.0091,169.432,3378946,50,4,-0.122718
-80.26,169.37,3378968,50,2,-0.122718
-80.2349,169.38,3378969,50,4,-0.122718
-80.2099,169.39,3378987,50,4,-0.122718
-80.1597,169.406,3378991,50,3,-0.122718
-80.3359,169.331,3379014,50,4,-0.122718
-80.2357,169.379,3379015,50,4,-0.122718
-80.0532,165.749,3379045,50,4,-0.132945
-80.2028,176.775,3379047,50,4,-0.102265
-80.1603,163.197,3379067,50,3,-0.143172
-80.1612,169.404,3379068,50,4,-0.122718
-80.2113,169.388,3379079,50,4,-0.122718
-80.0107,178.507,3379090,50,3,-0.112492
-80.0409,176.66,3379103,50,2,-0.102265
-80.0734,176.685,3379106,50,2,-0.102265
-80.0859,169.421,3379107,50,3,-0.122718
-80.0409,176.66,3379114,50,3,-0.102265
-80.0866,169.421,3379117,50,4,-0.122718
-80.0418,176.66,3379122,50,3,-0.102265
-80.0889,161.45,3379159,50,2,-0.153398
-80.0866,169.421,3379179,50,2,-0.122718
-80.3906,178.886,3379184,50,2,-0.112492
-80.3381,169.328,3379199,50,3,-0.122718
-80.3222,178.827,3379201,50,3,-0.112492
-80.3381,169.328,3379202,50,4,-0.122718
-80.2379,169.376,3379213,50,4,-0.122718
-80.3381,169.328,3379231,50,2,-0.122718
-80.0372,169.427,3379252,50,3,-0.122718
-80.2637,169.365,3379282,50,4,-0.122718
-80.3926,178.886,3379284,50,3,-0.112492
-80.0881,169.419,3379294,50,4,-0.122718
-80.2136,169.385,3379304,50,3,-0.122718
-80.1619,163.193,3379307,50,3,-0.143172
-80.0881,169.419,3379312,50,4,-0.122718
-80.0128,169.428,3379316,50,3,-0.122718
-80.1414,176.732,3379318,50,4,-0.102265
-80.119,165.702,3379322,50,4,-0.132945
-80.0557,165.745,3379324,50,3,-0.132945
-80.1885,169.394,3379327,50,4,-0.122718
-80.2136,169.385,3379331,50,4,-0.122718
-80.2037,165.632,3379340,50,4,-0.132945
-80.3936,178.887,3379344,50,4,-0.112492
-80.2143,169.384,3379352,50,3,-0.122718
-80.0889,169.418,3379368,50,3,-0.122718
-80.0563,165.744,3379394,50,2,-0.132945
-80.0387,169.425,3379399,50,4,-0.122718
-80.0394,169.425,3379408,50,4,-0.122718
-80.215,169.383,3379409,50,2,-0.122718
-80.0991,165.715,3379413,50,4,-0.132945
-80.2401,169.373,3379415,50,3,-0.122718
-80.2652,169.363,3379422,50,2,-0.122718
-80.2401,169.373,3379431,50,2,-0.122718
-80.3403,169.325,3379448,50,3,-0.122718
-80.0394,169.425,3379454,50,4,-0.122718
-80.19,169.392,3379466,50,3,-0.122718
-80.0167,178.51,3379482,50,3,-0.112492
-80.316,169.337,3379484,50,4,-0.122718
-80.0167,178.51,3379556,50,4,-0.112492
