lat,lon,EventNumber
-80.2037,165.632,3379340
-80.3936,178.887,3379344
-80.2143,169.384,3379352
-80.0889,169.418,3379368
-80.0563,165.744,3379394
-80.0387,169.425,3379399
-80.0394,169.425,3379408
-80.215,169.383,3379409
-80.0991,165.715,3379413
-80.2401,169.373,3379415
-80.2652,169.363,3379422
-80.2401,169.373,3379431
-80.3403,169.325,3379448
-80.0394,169.425,3379454
-80.19,169.392,3379466
-80.0167,178.51,3379482
-80.316,169.337,3379484
-80.0167,178.51,3379556
-80.1664,169.398,3379559
-80.3414,176.848,3379563
-80.3418,169.323,3379567
-80.0409,169.423,3379588
-80.0158,169.425,3379594
-80.0416,169.422,3379663
-80.0416,169.422,3379687
-80.2062,165.627,3379691
-80.0383,165.751,3379763
-80.3433,169.32,3379774
-80.2431,169.369,3379780
-80.218,169.379,3379784
-80.0918,169.415,3379707
-80.0424,169.422,3379730
-80.2431,169.369,3379738
-80.218,169.379,3379753
-80.0933,169.413,3379786
-80.0431,169.421,3379787
-80.3998,178.888,3379798
-80.0431,169.421,3379835
-80.2438,169.369,3379838
-80.0601,165.737,3379848
-80.1474,163.206,3379856
-80.1944,169.386,3379876
-80.1491,176.733,3379878
-80.1817,176.754,3379896
-80.2195,169.377,3379897
-80.1944,169.386,3379907
-80.2195,169.377,3379919
-80.0218,178.513,3379929
-80.094,169.413,3379932
-80.0188,169.423,3379940
-80.4119,176.877,3379947
-80.2453,169.367,3379988
-80.248,176.795,3379990
-80.2202,169.376,3380012
-80.0453,169.419,3380048
-80.2499,169.357,3380853
-80.0479,169.41,3380874
-80.2697,169.316,3384170
-80.2916,169.303,3384405
-80.1929,169.336,3385262
-80.2179,169.327,3385269
-80.0423,169.37,3385270
-80.243,169.317,3385271
-80.1929,169.336,3385275
-80.1929,169.336,3385276
-80.2931,169.295,3385214
-80.2931,169.295,3385220
-80.2681,169.307,3385222
-80.1956,169.33,3385882
-80.0454,169.363,3385950
-80.1706,169.338,3385900
-80.1505,176.683,3385901
-80.1706,169.338,3385910
-80.3329,178.787,3385912
-80.1956,169.33,3385913
-80.196,169.329,3385937
-80.1458,169.344,3385942
-80.0454,169.363,3385958
-80.062,165.677,3385976
-80.2962,169.287,3385980
-80.0835,165.663,3385998
