lat,lon
-78.0916,148.608
-75.5928,133.767
-81.26,179.892
-79.4063,148.586
-79.1157,149.66
-80.3051,179.851
-80.129,179.458
-80.3784,-178.339
-80.0209,172.111
-80.1147,179.448
-80.1332,179.462
-84.5604,158.67
-80.0934,179.432
-80.0319,172.108
-80.0255,172.109
-80.2479,172.055
-78.7404,147.899
-79.0307,149.856
-79.0308,149.83
-79.031,149.803
-79.0303,149.828
-79.0303,149.828
-79.0286,149.85
-79.0286,149.85
-79.0257,149.87
-79.028,149.875
-79.0247,149.867
-81.5949,178.105
-78.9924,149.052
-80.1105,178.253
-80.1475,170.86
-80.0781,167.182
-74.6858,138.171
-80.0279,164.791
-80.0957,170.865
-80.0881,-179.976
-80.2211,170.832
-80.0851,167.176
-80.1096,170.862
-80.062,170.867
-80.141,177.995
-80.0541,177.925
-80.1803,178.014
-80.4175,178.141
-80.3274,178.098
-80.3684,178.116
-80.0077,164.51
-78.9623,149.905
-75.8413,130.052
-79.0601,147.077
-78.9608,120.02
-78.9554,147.176
-80.1119,177.32
-80.2828,177.341
-80.122,177.225
-80.1187,177.222
-80.0503,177.17
-80.1122,177.217
-80.0438,177.164
-80.0113,177.138
-80.0438,177.164
-80.0374,177.158
-80.1025,177.208
-80.0309,177.151
-80.096,177.202
-80.096,177.202
-80.0703,177.096
-80.1614,177.11
-80.2031,177.055
-80.0447,176.891
-80.0122,176.865
-80.3052,177.063
-80.0818,178.817
-80.0748,176.912
-80.0417,176.885
-80.0092,176.859
-80.0411,176.884
-80.1135,178.848
-80.0411,176.884
-80.073,176.908
-80.21,169.609
-80.0255,178.743
-80.2486,177.019
-80.227,178.958
-80.1581,178.889
-80.3615,179.079
-80.0471,176.879
-80.1886,178.919
-80.2576,178.986
-80.2666,169.578
-80.1496,178.871
-80.1714,176.95
-80.0058,178.683
-80.0905,176.878
-80.0742,169.604
-80.0905,176.878
-80.5781,179.204
-80.0591,178.74
-80.1964,178.889
-80.0185,169.609
-80.1485,176.918
-80.3738,177.046
-80.1087,176.888
-80.044,178.72
-80.1051,176.885
-80.1377,176.908
-80.069,176.857
-80.2647,176.988
-80.0301,176.824
-80.1945,165.817
-80.1692,178.855
-80.0663,178.742
-80.0306,178.701
-80.2512,169.545
-80.0648,178.739
-80.0991,178.777
-80.091,176.869
-80.1156,163.423
-80.1663,178.85
-80.0277,178.696
-80.0277,178.696
-80.0619,178.735
-80.199,169.564
-80.1208,176.89
-80.0263,178.694
-80.059,178.73
-80.059,178.73
-80.152,176.911
-80.2219,169.554
-80.0933,178.767
-80.1194,176.888
-80.2774,163.207
-80.059,178.73
-80.471,169.41
-80.2459,169.544
-80.0576,178.728
-80.0561,178.725
-80.42,169.447
-80.1247,178.8
-80.0827,176.859
-80.4938,169.391
-80.1232,178.797
-80.1152,176.883
-80.0546,178.723
-80.0821,169.55
-80.3546,169.447
-80.0681,169.544
-80.1215,165.821
-80.2645,169.485
-80.2267,169.497
-80.1341,178.763
-80.3757,178.995
-80.0669,165.854
-80.049,169.541
-80.4173,177.005
-80.0283,178.647
-80.2747,169.476
-80.2497,169.487
-80.0482,161.62
-80.2726,169.477
-80.097,169.533
-80.0217,169.543
-80.0447,169.54
-80.2454,169.488
-80.0196,169.543
-80.2182,169.498
-80.2412,169.488
-80.0154,169.542
-80.3414,169.44
-80.0562,165.857
-80.0132,169.541
-80.3393,169.44
-80.1889,169.507
-80.2391,169.488
-80.2641,169.478
-80.3121,169.454
-80.1617,169.514
-80.2119,169.498
-80.3372,169.441
-80.0864,169.532
-80.009,169.54
-80.1847,169.507
-80.0341,169.538
-80.0221,161.649
-80.2097,169.498
-80.0822,169.531
-80.0682,176.794
-80.0069,169.54
-80.2327,169.489
-80.0069,169.54
-80.0822,169.531
-80.2807,169.468
-80.049,165.859
-80.08,169.531
-80.1783,169.507
-80.3896,176.987
-80.1532,169.514
-80.0772,169.53
-80.0019,169.538
-80.0019,169.538
-80.0772,169.53
-80.3886,176.986
-80.2026,169.498
-80.2277,169.489
-80.0262,169.536
-80.252,169.479
-80.2269,169.489
-80.1343,178.757
-80.2269,169.489
-80.0011,169.538
-80.017,161.652
-80.0262,169.536
-80.1353,163.333
-80.0329,161.631
-80.2262,169.488
-80.0255,169.535
-80.0598,176.785
-80.1753,169.505
-80.0749,169.529
-80.2003,169.497
-80.108,165.816
-80.0239,169.534
-80.1496,163.307
-80.0207,169.527
-80.3217,169.436
-80.0792,169.512
-80.2317,169.468
-80.05,165.837
-80.0812,169.51
-80.031,169.516
-80.0087,169.516
-80.0706,176.774
-80.2417,165.683
-80.1603,169.489
-80.0389,161.602
-80.0523,165.806
-80.1343,176.791
-80.0326,169.486
-80.0326,169.486
-80.0179,169.479
-80.0668,169.473
-80.0681,169.473
-80.2437,169.424
-80.0152,169.478
-80.0168,163.398
-80.1909,169.442
-80.216,169.434
-80.0139,169.477
-80.0641,169.472
-80.1895,169.442
-80.3149,169.389
-80.0449,176.712
-80.0641,169.472
-80.1882,169.442
-80.1882,169.442
-80.1882,169.442
-80.2133,169.433
-80.1869,169.441
-80.0099,169.475
-80.3536,178.905
-80.2607,169.412
-80.0601,169.47
-80.2106,169.433
-80.0321,165.805
-80.2106,169.433
-80.0099,169.475
-80.0587,169.469
-80.1842,169.441
-80.1828,169.44
-80.1828,169.44
-80.2079,169.432
-80.3628,176.908
-80.052,169.466
-80.0578,178.592
-80.2961,169.382
-80.0304,176.671
-80.3437,178.866
-80.1774,169.405
-80.0464,165.758
-80.1699,178.689
-80.308,178.821
-80.0464,165.758
-80.0067,178.505
-80.2335,169.382
-80.0705,176.685
-80.0837,169.424
-80.2342,169.381
-80.2091,169.391
-80.0335,169.431
-80.0837,169.424
-80.0087,178.506
-80.0087,178.506
-80.0248,160.101
-80.2099,169.39
-80.0091,169.432
-80.26,169.37
-80.2349,169.38
-80.2099,169.39
-80.1597,169.406
-80.3359,169.331
-80.2357,169.379
-80.0532,165.749
-80.2028,176.775
-80.1603,163.197
-80.1612,169.404
-80.2113,169.388
-80.0107,178.507
-80.0409,176.66
-80.0734,176.685
-80.0859,169.421
-80.0409,176.66
-80.0866,169.421
-80.0418,176.66
-80.0889,161.45
-80.0866,169.421
-80.3906,178.886
-80.3381,169.328
-80.3222,178.827
-80.3381,169.328
-80.2379,169.376
-80.3381,169.328
-80.0372,169.427
-80.2637,169.365
-80.3926,178.886
-80.0881,169.419
-80.2136,169.385
-80.1619,163.193
-80.0881,169.419
-80.0128,169.428
-80.1414,176.732
-80.119,165.702
-80.0557,165.745
-80.1885,169.394
-80.2136,169.385
-80.2037,165.632
-80.3936,178.887
-80.2143,169.384
-80.0889,169.418
-80.0563,165.744
-80.0387,169.425
-80.0394,169.425
-80.215,169.383
-80.0991,165.715
-80.2401,169.373
-80.2652,169.363
-80.2401,169.373
-80.3403,169.325
-80.0394,169.425
-80.19,169.392
-80.0167,178.51
-80.316,169.337
-80.0167,178.51
-80.1664,169.398
-80.3414,176.848
-80.3418,169.323
-80.0409,169.423
-80.0158,169.425
-80.0416,169.422
-80.0416,169.422
-80.2062,165.627
